δέ;but
ὁ;the following
σύ;thou
ἐγώ;I at least, for my part, indeed, for myself
εἰμί;sum
μέν;indeed, of a truth
τε;both . . and
ὅς;yas, yā, yad,
ὅς;his, her,
γάρ;for
γε;at least, at any rate
καί;and so
καί;and indeed, and further
καί;and
καί;and now
αὐτός;self
τίς;who? which?
ἄν;he came,
εἰς;into
ἄλλος;y
ἄλλος;other, another
σός;thy, thine
ἔπος;vácas
ἀτάρ;but, nevertheless,
ναυ̂ς;ship,
δίδωμι;Aër.
πέρ;all
μιν;him, her, it
ἔρχομαι;ibo
ἐπί;on, upon with gen., dat., and acc.
ἐπί;being upon
ἐκ;from out of,
τις;any one, any thing
τις;anyone, anything
γέρας;gift of honour
φημί;Spir. Prooem., Eratosth.Prooem.
ἐμός;mine
πολύς;many,
χείρ;b.
εἰ̂μι;to go
εἰ̂μι;ibo
πείθω;persuade
ἐν;in, into.
νυ̂ν;now,
νυ̂ν;now, even now,
ἀλλά;otheruise
ὄφρα;that, in order that
ὅδε;this,
ἀνήρ;nar-
ἐθέλω;to be willing
φρήν;midriff,
εἰ̂πον;said
μέγας;big
οὑ̂τος;this
υἱός;huihus
ἔπειτα;thereupon, thereafter, then,
βαίνω;walk, step,
οὔτε;and not
οἰ̂δα;to know
πρός;on the side of, in the direction of,
ἕ;sui.
μυ̂θος;word, speech
μετά;mip
πα̂ς;all
πα̂ς;[unavailable]
πα̂ς;[unavailable]
θεός;God, the Deity
οἴομαι;forebode, presage,
πρόσφημι;speak to, address
θεάω;[unavailable]
ἔπειμι;sum
ἄγω;lead, carry, fetch, bring
ἑκατόμβη;an offering of a hundred oxen
εὔχομαι;pray
τίθημι;p
ἔπειμι;ibo
τοι;let me tell you, mark you, look you
ἀεί;ever, always
ὡς;so, thus.
τοι;[unavailable]
πατήρ;pitṛ[snull ]u
περί;round about, all round
ὡς;as, how;
εὐ̂;well
ἡ̂μαι;ēs-
ἱκνέομαι;come
ἕνεκα;on account of,
λαός;men
ἐπεί;after that, since, when,
βασιλεύς;king, chief,
μάχομαι;fight
Κω̂ς;to Cos
ἕζομαι;seat oneself, sit
ἀπό;ápa,
ἵημι;Ja-c-io
κατά;[unavailable]
κάτος;following
κατά;downwards.
δέω;lack, miss, stand in need of,
ἄναξ;lord, master,
στρατός;army, host.
ἐμέω;vomit, throw up
ἀμείβω;change, exchange,
παι̂ς;child
ἀνίστημι;make to stand up, raise up,
προσει̂πον;speak to
Μέγης;[unavailable]
ἐγώγε;[unavailable]
εὐρύς;wide, broad
φίλος;beloved, dear,
φίλος;loved, beloved, dear
ἤ;or
ὠκύς;quick, swift, fleet,
τελέω;fulfil, accomplish, execute, perform
πηρός;disabled in a limb, maimed
οὐδός;way
οὐδέ;but not
οὐδέ;and) in no wise
οὐδέ;and not yet, not as yet
οὐδός;threshold
αἱρέω;take with the hand, grasp, seize
φιλέω;love, regard with affection,
δέω;bind, tie, fetter,
γέρων;old man
εἰ;if
εἰ;[unavailable]
σφει̂ς;Rendic.Pont. Accad.Rom. di Arch.
ἀναλάζομαι;take again,
θέω;dhávate
θέω;shine, gleam
παρά;beside
πη̂ρος;loss of strength, dotage
καλλιπάρηος;beautiful-cheeked
αὐ̂θις;back, back again,
μήτηρ;mother
ἄρα;i[rtilde]
ἄρα;[unavailable]
δει̂;there is need
ἵστημι;make to stand
πόλεμος;war,
Δεύς;[unavailable]
ἠμί;say
χάω;[unavailable]
καλέω;call, summon
τῳ̂;therefore, in this wise, then,
ἐφίημι;send to
δή;exactness
ἀπαμείβομαι;reply, answer,
λευκώλενος;white-armed
ἑκηβόλος;attaining his aim,
σκη̂πτρον;staff
θυγάτηρ;daughter
αὐτίκα;forthwith, at once, in a moment,
λύω;luo
ἔργον;weorc
εἰ̂δον;to see
ἤ;hi
ἠ̂;in truth, of a surety
ἠ̂;sum
ἠ̂;[unavailable]
ἠ̂;surely, doubtless
κακός;bad
ἔχω;check
ἔχω;bear, carry, bring
ἔνθα;there,
ἔτι;yet, still
ἀνάζω;[unavailable]
μής;[unavailable]
κλύω;hear
ἑται̂ρος;comrade, companion,
νοέω;Excerpta e libris Herodiani
νηάς;[unavailable]
δέχομαι;take, accept, receive,
φέρω;fero,
θύμος;[unavailable]
θύμος;warty excrescence
θυμός;soul, spirit
θύμον;Cretan thyme, Thymbra capitata
χόλος;gall, bile,
κήδω;trouble, distress
χολόω;anger, provoke,
ἀέκων;involuntary, constrained
πρό;before, forth
ἀγορεύω;speak in the assembly, harangue
βάλλω;throw
παύω;make to end
χαίρω;rejoice, be glad,
γιγνώσκω;come to know, perceive
μάντις;diviner, seer, prophet
ἄμφω;both,
δάκρυον;tear,
φέρτατος;bravest, best,
ἀγλαός;splendid, shining, bright
πούς;foot,
λίσσομαι;beg, pray
ἀεικής;unseemly, shameful
ἔδω;eat
μή;mā´
ἀμείνων;better:
καταδύω;go down, sink, set
τλάω;suffer, undergo
ἤτοι;now surely, truly, verily
τίκτω;bring into the world, engender
ἠδέ;and
δω̂μα;house
μή;[unavailable]
θίς;heap
ἵνα;in that place, there
μή;lest perchance
ἀμύνω;keep off, ward off,
ἀφαιρέω;take away from
κλισία;place for lying down
ἱερεύς;priest, sacrificer, diviner
λαμβάνω;a
τέλλω;accomplish
ἀνάσσω;to be lord, master,
δύναμαι;to be able, strong enough
καίω;kindle
ἀτιμάω;dishonour, disdain,
χραισμέω;ward off
ἁμός;our, ours
γίγνομαι;come into a new state of being
κατανεύω;nod assent
μένος;might, force
αὐ̂τε;again,
τιμάω;honour, revere, reverence
τιμέω;[unavailable]
πρότερος;before, in front
ἔοικα;as,
ἅμα;at once, at the same time,
ἅμα;at the same time
γαι̂α;land, country
ἀνά;on board
πόλις;city,
θέα;seeing, looking at
θεά;goddess
θέα;a seeing, looking at, view
ἱστός;anything set upright
ἐκπέρθω;destroy utterly, sack,
βούλομαι;will, wish, be willing
αἰδέομαι;to be ashamed
ἀπαυράω;to take away
ἱλάσκομαι;appease
ἀχεύω;grieving, mourning,
τότε;at that time, then,
δείδω;to fear
εἰ̂πος;[unavailable]
ἐπιπείθομαι;to be persuaded
ἀναβαίνω;go up, mount,
Ἑκάεργος;nine,
Ποδη̂ς;[unavailable]
οἴχομαι;go
ἀρήγω;aid, succour,
πέμπω;send
τοτέ;at times, now and then
ὡ̂δε;in this wise, thus,
τρέφω;thicken
δω̂ρον;gift, present, gift of honour
βέλος;missile
νεφεληγερέτα;cloud-gatherer,
ἀθάνατος;undying, immortal
πέλω;come into existence, become, be
τοτέ;at times, now and then,
ἕκαστος;each,
βουλή;will, determination
οἴκαδε;to one's house, home,
ἀπάνευθε;afar off, far away,
ξίφος;sword,
κρατερός;strong, stout, mighty
κη̂ρυξ;herald, pursuivant
ἔλδωρ;wish, longing, desire
ὅσος;as great as, how great
πρίν;before, until.
βαρύς;heavy in weight,
ἀθανατόω;make immortal
ἀγορά;assembly
ὁράω;Inscr. destombeaux des rois
ἐποίχομαι;go towards, approach,
μάλιστα;[unavailable]
στέμμα;wreath, garland, chaplet
τίνω;pay a price
ἀμφί;abhitas
φωνέω;produce a sound
ἀείδω;Il.Parv..
ἐξ;[unavailable]
λήγω;stay, abate
θνήσκω;to die, be dying
ἄριστος;best
χερείων;meaner, inferior,
ὅτι;that
ἅλς;sea
ἅλς;salt,
πότος;drinking, a drinking-bout, carousal
ποτός;drunk, for drinking,
πότος;drinking-bout, carousal,
τίζω;to be always asking 'what?
ἐρύω;drag, draw,
μη̂νις;wrath
ἐρύω;se-srū-,
ἴσος;equal
χώομαι;to be angry,
ἡ̂λος;nail-head, stud
ὑ̂ς;the wild swine,
ὑ̂ς;whither,
σύν;with.
ἀνδρόω;change into a man,
ἀνδρών;men's apartment
ποτέ;at some time
πότε;when? at what time?
ποτέ;at some time, once, some day.
ἀκούω;hear
ἐπικουρέω;to be an
χόω;throw
ἀφίημι;send forth, discharge,
ἐκλύω;set free,
λοιγός;ruin, havoc
μηρός;thigh
λοιγός;[unavailable]
χειράς;chap, crack,
τεύχω;make ready, make
λίζω;[unavailable]
δωμάω;build
θάλασσα;sea
χρύσεος;golden,
ἀγός;leader, chief
ἐάν;if haply, if
οὐ;surely not, verily not
οὐ;for not
οὐ;no truly
οὐ;for in no manner
οὐ;since
οὐ;indeed
οὐ;assuredly not
οὐ;certainly not, in sooth not
οὐ;not however
οὐ;for surely not
οὐ;no truly, nay verily
οὐ;[unavailable]
οὐ;nevertheless, notwithstanding, yet, still
οὐ;no,—certainly not
οὐ;on the contrary . . not
οὐ;never yet ai any time
οὐ;fact
οὐ;for I don't suppose
ἄποινα;ransom
ἀποινάω;demand the fine
ἄποινος;[unavailable]
ἥλιος;sun
πλείων;more,
ἱκάνω;come
γλυκύς;sweet to the taste
μένω;stay, wait
πρω̂τος;first
πρωτός;destined
κάκη;wickedness, vice
ἠ̂δος;delight, pleasure
ἀγάω;[unavailable]
ἐάω;suffer, permit
πάντῃ;every way, on every side
ὑπό;úpa
λανθάνω;escape notice
φαίνω;A ren.
οἰ̂κος;house,
ποιέω;make
ἑός;his, her own,
χέω;pour
κόρη;girl
κουρά;cropping
μαχάω;wish to fight
νάω;flow,
καρτερός;strong, staunch
καθέζομαι;sit down, take one's seat
ἀργυρότοξος;with silver bow,
εὐχωλή;prayer, vow
στη̂θος;breast
κρατήρ;mixing vessel
ὀλίγος;little, small,
ἄλγος;pain
ἔρις;[unavailable]
ἐπιμέμφομαι;cast blame upon
λοίγιος;pestilent, deadly
μειδάω;smile
ὄμνυμι;swear,
ἀρχός;leader, chief,
μήτε;and not
ἐπευφημέω;assent with a shout of applause,
γυνή;woman,
μετει̂πον;speak among, address
ἀγαθός;good:
χειρίς;a covering for the hand, glove,
ἥρως;hero
λέχος;couch, bed
κοι̂λος;hollow
ἀγοράομαι;meet in assembly, sit in debate
κέλομαι;urge, exhort, command.
ἀναιρέω;take up,
σημαίνω;show by a sign, indicate, point out
ἐρίζω;strive, wrangle, quarrel,
καρπάλιμος;swift
φράζω;point out, show
σύμπας;all together, all at once
οὐδείς;not one
θνητός;liable to death, mortal
οὕνεκα;on account of which, wherefore
ὀχθέω;to be sorely angered, vexed in spirit
προίημι;to send before, send on
ἕπομαι;follow
οὕτως;in this way
ἀνέχω;hold up, lift up,
οὐλοχύται;barley-groats
πολύμητις;of many counsels,
παρέζομαι;sit beside
ἕδος;sitting-place
ἀπόλλυμι;destroy utterly, kill,
ἀλεγίζω;trouble oneself about
βουλεύς;[unavailable]
κοιμάω;lull, put to sleep
ἀρητήρ;one that prays
ἄφαρ;straightway, forthwith,
κοσμήτωρ;one who marshals an army, commander, leader
νόσφι;aloof, apart, afar, away
κραίνω;ṇ-y
κάθημαι;to be seated, sit
Ἄνακες;the Dioscuri, Pollux and Castor,
κέλευθος;road, path
ἄψ;abs) backwards, back again,
ἠ̂μος;at which time, when
φεύγω;flee, take flight,
οὐτιδανός;of no account, worthless
ἐπιχθόνιος;upon the earth, earthly,
τέκνον;child
ὀνίνημι;D Mort.
τόσος;so great, so vast
ἐσθλός;good
ἄτιμος;unhonoured, dishonoured,
ἔκπαγλος;terrible, violent
αἰγίοχος;veho
προσαυδάω;speak to, address, accost
γόνυ;knee
κεφαλή;head
πατρίς;of one's fathers
θεοπροπία;prophecy, oracle
βοω̂πις;ox-eyed
ὄσσα;a rumour,
ὁπότε;when,
ἀπολυμαίνομαι;cleanse oneself by bathing,
αὐτου̂;just there
ἀνακτός;drawn from a spring,
κρατέω;to be strong, powerful
ἠέλιος;sun;
ἠέριος;early, at
ζάθεος;very divine, sacred
φρονέω;to be minded,
ἱλάομαι;[unavailable]
δωδέκατος;twelfth
πρυμνήσιος;of a stern
